student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1000,23,F,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2
S1001,20,F,6.9,2.8,2.3,No,97.3,4.6,Good,6,HS,Average,8,No,100
S1002,21,Male,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3
S1003,23,Female,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8
S1004,19,Female,5,4.4,0.5,0,90.9,4.9,Fair,3,Master,Good,1,No,66.4
S1005,24,Male,7.2,1.3,0,0,82.9,7.4,Fair,1,Master,Average,4,No,100
S1006,21,Female,5.6,1.5,1.4,1,85.8,6.5,Good,2,Master,1,4,No,89.8
S1007,21,Female,4.3,1,2,1,77.7,4.6,Fair,0,Bachelor,Average,8,No,72.6
S1008,23,Female,4.4,2.2,1.7,No,100,7.1,Good,3,Bachelor,Good,1,No,78.9
S1009,18,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5,Bachelor,Good,10,Yes,100
S1010,19,Female,4.6,3.7,0.8,No,77.6,5.8,Fair,1,None,Good,3,No,63.3
S1011,23,M,,,,,,7.9,Fair,2,B,3,1,No,74.4
S1012,19,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1,B,3,9,No,76.9
S1013,19,F,3.4,2.7,2.7,No,125,4.7,Fair,4,B,Good,10,No,75.8
S1014,24,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6,Bachelor,2,9,No,78.9
S1015,21,Male,3.1,5,1,No,97.5,6.5,Good,6,HS,2,7,No,74
S1016,20,Male,1,0.6,0.2,No,92.9,5.6,Poor,3,High School,1,8,Yes,55.2
S1017,24,Female,3.4,2.7,1.2,No,94.7,7.5,Poor,0,High School,Average,1,Yes,70.8
S1018,24,M,2,4.9,2.9,Yes,88.3,7.1,Good,2,HS,Good,5,No,43.9
S1019,19,Male,,,2.4,No,71.1,7.5,Fair,1,High School,Average,2,,45.3
S1020,22,Female,3.8,2.3,2.9,No,83,6.4,Good,3,Master,Good,1,No,58.5
S1021,21,M,360,120,2.4,No,95.6,630,Fair,1,High School,3,3,No,82.5